Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
360 ONE,542772.0,360ONE,Finance & Investments,986.05,38774.83,14.2,20.15,25.83,1.58,20.57,6.2,14.91,60.78,1081.36,35.86,0.61,12.81,34.47,-26.28,0.9,1.62,16.73,16.72,23.23,39.89,20.01,21.9,25.76,31.84,32.85,2002.7,1015.3,2920.91,1704.85,17.47,5807.58,8838.1,-4424.64,-3074.78,-4203.49,-2812.03,295.01,67.22,8.48,14.47,24.47,14.24,13.05,3295.09,20.42,1.62,1.62,36.59,19.1,23.23,54.44,966.03,Financial services
3M India,523395.0,3MINDIA,Diversified - Large,30110.0,33949.86,75.0,13.03,492.91,0.01,24.81,16.97,33.04,17.34,555.27,61.14,0.53,5.49,6.52,86.23,5.74,2.19,17.5,6.93,53.48,10.65,14.6,18.07,-1.18,14.68,9.19,733.4,555.27,3733.44,559.79,3.51,22.88,13.5,1183.71,1656.21,1341.7,1872.08,227.06,3.78,8.08,25.29,18.75,24.51,19.82,4228.51,40.96,1.52,1.52,10.65,53.48,143.96,58.76,28974.05,Diversified
A B B,500002.0,ABB,Electric Equipment,5522.5,117005.44,75.0,50.27,88.33,0.01,28.82,16.04,38.65,18.96,1876.15,62.36,0.8,16.67,50.42,121.87,1.55,2.04,20.68,10.75,63.11,40.25,18.86,23.64,-15.57,38.11,43.72,2311.28,1871.64,10446.52,1496.75,54.42,36.66,13.54,2880.54,3599.42,3425.22,4393.63,58.75,10.27,7.01,30.61,22.92,30.76,23.11,12188.31,41.86,1.7,1.7,40.25,63.11,50.0,53.43,5527.0,"Capital Goods, Energy"
A B Real Estate,500040.0,ABREL,Paper,1917.7,21443.64,50.21,11.81,-2.36,1.17,1.29,0.64,8.31,9.4,18.24,1175.9,0.26,29.14,-91.22,-167.45,-19.09,1.59,19.93,2.74,54.05,-61.59,3.99,3.48,-3.98,31.89,45.7,462.37,-1.56,3831.82,566.88,-11.54,1048.51,1020.15,-383.78,-128.16,-95.5,448.08,432.7,9.28,15.86,7.67,4.82,7.04,5.9,4919.38,50.59,0.27,0.27,-61.59,54.05,110.52,49.82,1966.71,Fast Moving Consumer Goods
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,467.05,20171.09,75.61,19.56,20.65,2.49,18.41,4.2,11.36,76.22,868.75,23.22,0.0,21.07,22.81,-13.35,0.68,3.81,17.98,15.37,30.11,34.28,15.76,16.89,,,,2261.38,868.75,2043.23,1536.21,21.37,10374.47,8194.97,-4528.34,-8101.77,-4491.28,-8056.23,-48.88,5.32,8.58,10.24,16.48,10.5,10.24,2966.81,14.57,3.81,3.81,-22.58,30.11,0.0,55.92,438.15,Financial services
Aarti Industries,524208.0,AARTIIND,Chemicals,421.25,15278.25,42.24,27.93,10.12,0.71,8.22,4.61,7.47,14.32,365.0,41.86,0.24,13.43,-15.9,-60.79,-13.64,0.89,12.25,8.86,-7.08,-3.07,16.11,15.54,-43.21,-19.46,-3.39,1016.0,367.0,6618.58,1088.97,7.51,2856.96,2401.08,-753.62,-1218.74,3041.27,5016.04,-71.01,6.29,19.96,10.44,11.55,13.26,13.64,7096.0,18.25,0.41,0.41,-3.92,-8.3,8.7,54.94,410.26,"Chemicals, Diversified"
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1942.9,15375.68,26.47,19.56,72.53,3.19,14.12,3.27,10.1,75.29,574.11,26.78,0.0,16.7,17.06,-8.15,1.47,9.1,21.76,21.15,17.18,18.17,13.83,14.06,19.63,-5.31,10.34,1772.6,574.11,2017.5,1482.67,19.55,8011.98,5382.17,-5664.44,-7894.27,-5566.54,-7773.15,-9.25,29.67,10.75,9.91,13.93,9.84,9.8,2354.51,15.61,9.1,9.1,17.92,17.07,0.0,44.26,1934.64,Financial services
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,29985.0,63730.09,74.99,47.76,628.0,0.02,34.88,24.64,46.02,25.56,1334.46,47.76,1.37,8.51,16.49,65.13,2.17,2.25,10.71,9.72,20.24,22.01,30.47,32.2,13.38,20.64,11.08,1595.59,1334.46,5348.73,1205.89,13.67,152.58,0.0,2928.26,4242.38,3053.86,4406.73,52.07,0.16,8.91,41.13,31.61,41.84,39.19,6243.19,33.41,1.71,1.71,22.01,20.24,72.53,48.78,29857.36,Healthcare
ACC,500410.0,ACC,Cement - North India,1888.0,35441.13,56.69,46.03,127.92,0.02,13.33,9.53,17.58,14.07,2325.5,15.24,0.4,9.04,7.86,-58.72,1.35,1.61,10.45,6.81,6.9,11.33,12.22,11.55,-25.43,-6.76,9.87,3061.36,2402.27,19958.92,3061.66,-0.01,125.58,0.0,-1811.54,1341.95,3471.51,8526.19,-568.09,4.83,24.92,17.27,14.15,14.74,15.85,21762.31,8.27,1.27,1.27,11.33,6.9,5.87,37.72,1967.03,Construction Materials
ACME Solar Hold.,544283.0,ACMESOLAR,Engineering - Turnkey Services,209.21,12647.73,83.41,28.88,66.85,5.46,5.48,0.97,8.41,82.56,122.97,102.85,0.1,1.88,434.71,-27.75,,1.67,-7.96,,51.5,,,-2.11,,,,1089.22,698.23,1294.9,1172.67,-7.12,9732.04,,-1368.74,,3647.24,,-238.59,4.74,7.09,7.23,-1.93,7.59,7.59,1319.25,17.6,1.67,1.67,,51.5,0.0,53.31,205.83,"Metals & Mining, Realty"
Action Const.Eq.,532762.0,ACE,Engineering,1168.5,13917.16,65.41,35.13,32.67,0.08,30.58,17.44,42.3,14.73,389.1,35.77,0.17,18.95,40.54,73.86,0.84,1.33,33.41,16.76,63.04,42.59,20.67,23.16,-23.06,69.52,90.19,471.76,389.13,2159.68,220.92,36.01,54.58,53.24,565.25,645.0,811.22,945.26,26.73,11.57,1.97,26.17,18.78,29.99,25.37,3201.9,23.89,0.76,0.76,42.16,60.44,7.26,40.69,1225.28,"Construction Materials, Metals & Mining, Oil Gas & Consumable Fuels, Realty"
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,899.65,108067.5,69.95,31.76,8.82,1.83,12.86,3.37,10.24,29.73,2232.69,48.4,0.0,43.11,113.11,-324.21,1.88,1.37,28.29,15.8,22.84,25.77,11.91,11.24,-15.54,-31.42,34.18,7066.54,921.69,16607.36,5711.2,23.73,29901.79,24245.73,-1000.06,-1262.3,18509.83,26390.77,1442.85,17.58,6.33,9.0,8.59,9.82,10.08,23767.09,18.68,1.31,1.31,23.57,19.27,0.0,55.94,838.7,"Capital Goods, Diversified, Energy, Oil Gas & Consumable Fuels"
Adani Enterp.,512599.0,ADANIENT,Trading,2301.3,265571.73,73.97,28.79,32.49,1.92,9.73,2.39,9.87,13.72,3815.52,69.6,0.06,4.08,1.29,-41.45,1.63,0.69,34.6,19.02,48.28,42.77,7.64,8.33,-24.66,-0.44,74.7,13737.46,4342.34,127539.5,8817.69,16.54,16227.06,11243.2,-19222.74,-18806.36,29323.93,35820.8,424.22,11.71,6.86,9.48,9.63,8.68,8.58,100108.91,21.3,0.48,0.48,41.75,46.52,4.57,45.16,2338.28,Services
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,900.7,142751.19,60.94,31.76,9.12,6.59,15.03,2.29,8.21,79.17,1650.83,86.47,0.0,21.61,30.7,-20.92,0.68,0.51,29.75,34.49,56.03,127.11,16.26,16.51,-49.9,-32.14,33.75,8877.0,2001.0,9220.0,7318.0,21.3,52832.0,14866.19,-20457.0,-36714.0,23342.0,28070.0,605.0,12.45,2.4,9.65,14.74,8.56,8.71,11212.0,21.76,0.5,0.5,126.53,55.37,0.0,46.24,934.1,"Capital Goods, Diversified, Energy, Oil Gas & Consumable Fuels"
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1216.5,262888.96,65.89,20.67,46.84,0.88,18.06,7.72,12.93,60.19,10562.76,24.89,0.49,15.13,26.51,45.4,1.46,1.14,28.63,19.58,21.06,17.0,16.07,15.82,-8.18,12.41,33.2,17746.94,10052.93,20851.91,10947.13,19.75,35855.33,27711.54,17364.59,26415.86,37337.22,52294.81,449.91,13.43,14.73,9.52,14.43,11.14,11.77,29486.66,16.04,1.1,1.1,16.01,18.61,15.98,55.68,1176.26,Fast Moving Consumer Goods
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,532.05,205208.44,74.96,31.76,33.55,0.7,25.63,12.44,22.52,37.91,12749.61,16.1,0.0,11.62,-38.8,21.73,0.25,1.6,26.58,16.25,36.97,65.25,37.2,40.16,-13.13,23.81,75.84,21305.44,12749.61,50351.25,18227.62,16.89,49144.98,55198.76,28324.2,38530.32,36770.83,54017.91,787.02,12.36,1.64,32.25,57.06,23.52,19.67,56203.09,9.94,1.4,1.4,65.25,36.97,0.0,48.41,527.21,"Capital Goods, Diversified, Energy, Oil Gas & Consumable Fuels"
Adani Total Gas,542066.0,ATGL,Miscellaneous,600.2,66037.68,74.8,15.73,5.95,0.44,16.81,9.18,17.45,22.67,654.41,100.91,0.04,11.74,-1.91,-1378.94,11.6,0.73,18.07,21.68,8.72,8.7,20.79,18.99,-35.4,-37.44,41.62,1133.23,654.41,4474.74,1103.72,2.67,1035.16,428.27,-143.61,-314.71,2771.85,4157.46,86.86,13.22,6.23,21.2,20.46,19.8,23.15,4999.86,57.17,0.65,0.65,8.7,8.72,4.2,47.6,611.5,Fast Moving Consumer Goods
Aditya AMC,543374.0,ABSLAMC,Finance & Investments,661.5,19079.32,74.9,20.15,32.26,0.02,26.99,24.44,35.5,58.7,930.6,20.5,2.04,3.01,19.26,32.68,1.52,0.93,6.24,6.42,11.42,13.48,28.96,26.68,21.87,8.35,,988.97,930.6,1635.59,1043.61,-5.24,54.37,62.08,1751.69,2800.46,1830.68,2906.11,4.58,5.32,10.92,34.89,27.45,34.51,38.6,1684.78,14.76,0.93,0.93,-34.84,11.35,74.4,55.79,652.49,Financial services
Aditya Bir. Fas.,535755.0,ABFRL,Textiles - Products,263.55,32135.28,46.58,298.89,-6.07,2.44,-18.93,-4.25,0.25,11.0,-639.24,,0.0,9.76,-9.2,80.55,,1.01,38.67,11.51,-1.17,,-13.8,-9.53,0.21,-2.63,18.26,1625.81,-738.33,12417.9,1557.4,19.43,3599.78,1702.86,1197.74,2474.77,2928.11,4675.95,-238.66,22.2,14.65,4.89,-2.03,2.77,2.51,14783.02,22.33,0.48,0.48,,4.34,0.0,51.84,261.15,"Consumer Durables, Textiles"
Aditya Birla Cap,540691.0,ABCAPITAL,Finance & Investments,196.36,51208.4,68.85,20.15,14.26,4.24,14.15,1.67,9.95,35.76,3685.85,13.89,0.0,24.9,37.05,-2.84,0.43,0.44,21.48,17.88,44.49,32.67,14.66,17.46,-15.14,17.56,31.49,14059.0,3812.41,30163.15,10191.31,31.89,53043.73,56324.17,-54013.66,-49981.23,-53198.6,-48863.66,-176.49,7.83,9.79,11.38,26.79,9.78,9.18,39315.92,11.71,0.44,0.44,28.33,40.98,0.0,57.17,183.67,Financial services
Aegis Logistics,500003.0,AEGISLOG,Trading,785.4,27562.32,58.1,28.79,16.47,1.06,15.13,8.85,14.74,14.44,577.99,47.69,0.83,-6.35,12.5,-329.99,2.33,3.72,22.39,4.64,35.99,20.47,14.21,15.92,14.29,52.5,35.68,995.94,706.89,8627.21,671.99,21.67,734.21,238.75,-250.62,-192.19,1293.99,1881.85,199.79,18.06,6.31,15.9,15.91,15.82,15.05,6895.92,24.36,3.56,3.56,19.28,35.99,40.08,50.82,777.99,Services
Afcons Infrastr.,544280.0,AFCONS,Construction,418.65,15391.88,50.16,20.14,13.2,0.92,14.49,3.0,23.13,10.38,458.08,33.6,0.0,4.99,7.55,78.4,,1.19,12.27,,38.73,,,16.05,,,,1377.06,449.76,12637.38,1332.64,3.33,2059.1,,589.2,1702.7,2533.35,4496.33,93.94,18.21,12.07,23.43,17.08,22.24,21.54,13267.5,10.31,1.04,1.04,,-17.38,18.94,37.23,450.43,"Construction Materials, Metals & Mining, Realty"
Affle India,542752.0,AFFLE,Computers - Software - Medium / Small,1584.0,22250.5,55.02,31.76,26.11,0.05,15.0,11.26,16.25,20.6,366.29,60.75,0.0,28.24,34.59,148.95,1.4,3.69,52.78,49.18,30.16,43.52,21.17,18.56,41.43,9.04,40.79,447.18,366.29,1433.96,288.07,35.09,118.73,9.0,448.23,541.53,728.56,902.2,473.09,16.09,15.31,20.2,18.51,21.45,29.23,2170.27,38.54,3.69,3.69,39.44,26.1,0.0,54.22,1549.21,Information Technology
AIA Engineering,532683.0,AIAENG,Castings & Forgings,3193.9,30131.56,58.5,27.03,109.84,0.02,18.3,16.02,22.71,26.75,1035.2,29.11,0.5,-13.99,-9.41,75.05,1.56,11.64,18.98,9.6,27.9,18.69,16.6,17.59,-15.89,18.13,14.71,1145.0,1035.2,4908.77,1245.38,-15.32,192.94,128.11,1203.97,2227.67,1731.22,3008.81,-127.15,17.06,22.03,25.07,20.05,21.63,20.08,4280.62,20.31,9.12,9.12,18.69,27.9,13.29,48.25,3264.14,Metals & Mining
Ajanta Pharma,532331.0,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2706.1,33811.63,66.26,36.45,73.68,0.01,25.59,20.26,33.33,27.1,920.39,36.74,1.33,10.44,13.91,48.17,2.56,3.62,11.63,12.43,8.87,14.36,22.58,22.33,22.15,33.11,22.24,1259.5,920.39,4208.71,1171.94,7.47,25.03,74.96,2104.84,2953.5,2734.41,3872.43,47.3,8.86,17.48,31.6,23.23,29.18,29.69,4648.1,24.96,2.58,2.58,15.44,9.79,38.44,53.73,2658.97,Healthcare
Akums Drugs,544222.0,AKUMS,Pharmaceuticals - Indian - Bulk Drugs & Formln,522.2,8194.9,75.26,29.08,9.48,0.19,-3.57,-0.76,2.4,9.32,144.88,56.56,0.0,14.32,-120.18,-202.15,,2.13,15.35,,,,,-6.6,,,,373.54,154.71,3654.82,293.95,-58.05,97.06,,-121.98,-102.66,706.74,869.76,59.44,5.77,7.39,22.37,18.87,2.85,7.15,4006.82,18.96,1.59,1.59,,,0.0,58.81,508.32,Healthcare
Alembic Pharma,533573.0,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,875.55,17220.85,69.67,29.08,30.77,0.22,13.34,9.71,13.14,15.52,593.59,29.01,1.26,4.93,0.57,57.52,27.11,1.73,4.92,9.62,-18.72,1.07,15.94,10.15,-12.41,3.88,3.32,995.99,603.59,5652.62,682.15,13.63,583.61,1128.43,897.79,1416.77,2079.5,3992.02,44.73,3.94,16.43,7.4,7.2,10.52,16.38,6419.43,17.64,0.81,0.81,0.23,-18.72,35.11,52.75,877.06,Healthcare
Alivus Life,543322.0,ALIVUS,Pharmaceuticals - Indian - Bulk Drugs & Formln,1104.0,13539.89,74.99,29.08,36.05,0.01,21.09,16.98,28.11,27.51,441.7,30.65,2.04,-3.97,-14.95,45.37,1.6,4.52,6.59,20.83,10.23,19.17,30.87,23.68,33.19,32.43,,625.6,441.7,2161.22,642.85,-15.37,0.0,0.02,894.29,1360.17,1317.12,1900.24,17.59,6.57,5.19,29.88,22.3,33.42,76.64,2273.94,20.07,3.03,3.03,-47.88,-52.51,58.56,61.2,1039.83,Healthcare
Alkem Lab,539523.0,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,5116.0,61170.06,55.13,29.08,180.08,0.13,19.56,13.02,19.68,19.78,2162.49,28.29,0.78,0.97,28.53,45.92,1.42,2.66,12.63,11.48,6.78,19.88,18.68,17.42,5.85,16.32,14.5,2522.84,2197.47,11599.26,1621.81,14.84,1791.98,944.07,3997.09,5350.08,4741.59,6591.57,-207.49,9.4,19.42,13.67,12.12,17.22,18.31,12756.59,20.51,1.97,1.97,19.88,6.78,26.63,58.99,4962.13,Healthcare
Alkyl Amines,506767.0,ALKYLAMINE,Chemicals,1702.6,8709.43,72.04,27.93,34.92,0.0,12.29,9.43,16.46,18.98,178.54,48.78,0.59,3.07,12.23,459.28,3.95,2.13,5.06,11.22,-20.33,12.35,25.35,19.0,-16.75,-18.8,18.92,292.71,178.54,1683.05,347.84,12.75,46.94,165.33,56.83,375.36,728.03,1279.7,13.19,3.23,2.18,27.84,21.46,25.74,34.82,1542.4,27.16,1.5,1.5,12.29,-20.39,34.36,44.48,1740.18,"Chemicals, Diversified"
Alok Industries,521070.0,ALOKINDS,Textiles - Processing,16.58,8237.17,75.0,23.58,-1.64,,,-12.87,-4.79,-2.44,-909.99,,0.0,-32.69,-7.54,-110.21,,0.93,-20.24,2.38,,-5.31,,,-39.27,-13.65,17.99,-90.35,-816.43,5509.59,51.5,-275.44,24341.48,29389.54,-224.09,12.06,-232.24,337.9,44.12,2.4,0.43,-4.4,,-5.35,-2.51,3708.78,1647.12,0.39,0.39,7.69,,0.0,48.98,16.96,Textiles
Amara Raja Ener.,500008.0,ARE&M,Auto Ancillaries,971.9,17795.43,32.86,22.85,56.01,0.05,14.02,10.68,18.74,13.86,947.84,18.77,1.02,12.22,11.26,43.07,1.43,1.56,16.35,10.64,12.01,13.17,14.72,13.53,-11.62,20.0,11.23,1694.58,1025.12,10389.71,1450.42,8.15,92.32,58.43,1238.85,2021.54,2903.38,4882.32,-0.22,20.71,14.59,19.79,14.54,18.04,19.84,12227.77,10.02,0.69,0.69,11.62,9.46,20.0,42.06,1018.37,Automobile and Auto Components
Amber Enterp.,540902.0,AMBER,Electronics - Components,6155.5,20829.3,39.72,48.61,65.88,0.96,6.74,2.19,10.18,7.43,222.16,93.76,0.0,30.29,54.83,928.68,12.64,0.97,30.46,19.58,16.33,7.42,8.22,7.39,60.02,18.39,41.85,670.92,231.76,6927.1,421.66,41.7,398.72,251.34,67.21,264.22,1526.12,2035.29,-191.31,27.05,19.42,10.71,8.75,9.75,11.07,9024.78,30.04,0.66,0.66,5.95,16.33,0.0,40.73,6524.76,Capital Goods
Ambuja Cements,500425.0,AMBUJACEM,Cement - North India,539.7,132897.44,67.57,46.03,16.92,0.01,8.81,7.08,10.61,17.04,4182.54,31.77,0.37,5.68,23.74,-49.85,2.14,1.42,6.56,5.27,13.71,14.85,9.78,9.2,-12.94,13.19,25.75,5970.65,5158.41,33159.64,6399.51,-6.7,476.57,41.06,-8000.47,-1880.66,8618.09,18759.56,298.29,8.6,17.09,12.84,9.24,11.72,13.39,35044.76,14.76,1.12,1.12,10.0,5.83,11.82,49.1,532.26,Construction Materials
Anand Rathi Wea.,543415.0,ANANDRATHI,Finance & Investments,1701.8,14157.16,47.29,20.15,36.12,0.12,45.33,32.68,56.26,42.62,299.83,47.22,0.62,24.91,33.28,76.65,1.26,2.67,30.33,22.85,33.46,37.33,40.55,42.64,-14.87,73.77,,400.24,300.79,751.83,331.3,20.81,39.25,41.73,552.86,662.88,605.51,733.3,10.95,4.85,7.21,50.74,40.28,52.66,46.6,939.09,32.12,2.67,2.67,26.06,33.56,38.76,38.77,1811.44,Financial services
Anant Raj,515055.0,ANANTRAJ,Construction,451.9,15530.28,60.16,32.22,12.4,0.12,10.89,8.43,11.17,23.87,425.54,36.5,0.16,38.88,63.12,-1158.61,0.47,5.43,64.61,49.46,100.02,77.02,6.0,8.45,24.52,92.81,117.43,491.67,425.82,1483.3,333.82,47.29,1282.96,1690.59,-40.17,308.23,103.97,377.42,25.01,12.88,6.57,8.56,8.05,8.5,5.77,2059.97,29.45,3.08,3.08,71.75,90.19,5.89,42.95,514.68,"Construction Materials, Metals & Mining, Realty"
Angel One,543235.0,ANGELONE,Finance & Investments,2312.3,20894.24,35.55,12.49,129.81,0.61,27.07,7.78,25.79,37.81,1172.08,17.83,1.5,22.61,4.13,-33.74,0.27,1.59,31.72,47.61,23.31,66.93,37.24,36.13,-17.02,5.86,,1980.88,1172.08,4272.34,1692.99,17.0,1257.74,490.88,-1856.78,-2581.0,-1385.54,-2026.66,-283.76,13.05,14.27,38.7,43.29,36.14,34.17,5238.38,6.28,1.59,1.59,59.54,19.82,28.5,48.7,2334.4,Financial services
Apar Inds.,532259.0,APARINDS,Electric Equipment,5603.0,22518.96,57.77,50.27,201.04,0.13,26.83,9.2,43.96,8.5,807.56,27.89,0.91,12.93,-2.89,-1444.78,0.63,1.51,36.24,15.19,72.65,44.09,22.11,25.93,-28.9,103.0,78.21,1514.9,807.56,14336.3,1267.05,-0.61,324.81,253.28,-46.77,129.05,658.8,1034.34,85.19,9.87,20.63,51.14,32.27,40.57,34.45,17826.56,13.92,0.95,0.95,42.7,69.88,24.83,53.99,5970.05,"Capital Goods, Energy"
APL Apollo Tubes,533758.0,APLAPOLLO,Steel - Large,1619.8,44959.05,28.31,17.31,22.86,0.27,22.05,11.18,25.18,5.34,634.39,70.87,0.34,12.16,-16.95,371.0,1.89,1.2,28.7,20.43,26.48,37.52,23.95,24.52,4.02,16.54,62.52,1065.66,634.39,16165.95,1022.49,-13.69,520.47,858.13,363.47,1268.94,2454.53,3941.19,222.47,31.78,16.74,26.9,23.5,28.19,26.11,19946.68,39.97,0.55,0.55,33.42,22.12,20.84,62.64,1526.2,"Construction Materials, Metals & Mining"
Apollo Hospitals,508869.0,APOLLOHOSP,Healthcare,6977.0,100317.12,29.34,52.96,91.12,0.98,13.33,5.85,15.11,13.68,1310.1,76.57,0.23,14.81,66.23,144.57,2.23,1.47,21.75,14.66,108.56,34.27,11.78,14.4,17.32,16.13,37.99,2892.6,1349.0,16612.5,2064.6,29.23,4159.8,3673.2,2082.0,3848.5,4993.1,7550.6,72.1,42.74,22.29,14.5,13.71,15.65,13.71,21145.7,34.12,1.38,1.38,33.38,108.56,25.6,58.0,6742.38,"Consumer Services, Diversified, Healthcare, Services"
Apollo Tyres,500877.0,APOLLOTYRE,Tyres,471.9,29986.86,37.35,28.27,20.32,0.34,13.22,6.46,16.45,14.49,1349.71,22.22,1.27,2.33,-24.53,20.08,1.39,1.21,13.41,7.66,34.94,16.04,7.97,9.21,-7.49,32.04,37.42,3762.16,1290.79,24568.13,3333.04,-14.84,7333.51,5110.76,4476.77,5479.18,7729.75,12693.98,69.79,13.43,26.51,10.29,8.4,11.23,9.63,25958.03,8.7,0.57,0.57,13.64,34.94,22.13,66.87,436.33,
Aptus Value Hou.,543335.0,APTUS,Finance - Housing,318.65,15924.16,52.98,19.56,14.18,1.54,17.22,7.56,14.68,83.74,708.25,22.48,1.41,27.29,21.45,-15.23,0.55,14.28,28.76,33.24,31.85,40.52,16.12,16.27,-2.57,-0.85,,1374.09,708.25,1093.36,897.42,27.94,2515.06,1602.82,-3137.89,-4497.54,-3126.32,-4482.08,-110.66,27.74,9.88,14.56,16.08,14.28,14.12,1640.92,15.04,14.28,14.28,-2.86,-24.74,36.69,52.55,311.09,Financial services
Archean Chemical,543657.0,ACI,Chemicals,627.3,7732.88,53.44,27.93,15.09,0.02,19.45,16.29,25.75,32.91,218.71,35.36,0.48,-31.72,-45.26,23.75,0.81,6.85,21.53,18.65,66.85,43.87,34.08,33.79,-3.83,,,321.01,186.26,1441.07,634.37,-43.75,903.52,754.09,977.65,1082.79,1214.38,1481.02,38.6,10.93,23.17,45.55,44.92,36.61,29.26,975.41,20.71,5.74,5.74,21.52,-10.16,11.48,59.02,579.93,"Chemicals, Diversified"
Asahi India Glas,515030.0,ASAHIINDIA,Glass & Glass Products,733.9,17903.7,54.19,27.92,14.51,0.94,14.74,6.47,14.97,16.53,325.32,55.03,0.27,4.52,1.7,149.64,4.75,1.07,21.48,8.3,37.52,11.59,15.47,17.8,21.98,16.78,33.98,747.19,349.02,4018.76,794.85,2.62,1565.5,1642.91,357.69,880.88,1640.97,2450.58,59.17,4.15,1.63,20.53,18.6,18.79,15.64,4519.65,25.87,0.48,0.48,11.59,37.52,14.82,71.11,659.89,"Construction Materials, Metals & Mining"
Ashok Leyland,500477.0,ASHOKLEY,Automobiles - LCVs / HCVs,225.31,66223.93,51.35,21.46,9.64,4.3,28.35,4.42,15.01,18.65,2789.78,23.74,2.2,4.47,18.28,-19.35,5.88,1.15,33.02,6.64,205.53,4.04,10.07,15.68,16.95,21.03,33.9,8847.04,3070.56,41672.6,5092.9,21.22,24077.17,19167.91,-10255.63,-12986.99,-7912.68,-8594.63,3308.74,23.5,14.06,11.44,15.05,10.82,9.28,47444.86,11.75,0.95,0.95,4.04,205.5,58.52,59.66,215.01,"Automobile and Auto Components, Diversified"
Asian Paints,500820.0,ASIANPAINT,Paints / Varnishes,2425.7,232587.21,52.62,36.54,44.12,0.14,31.44,19.96,37.5,18.27,4361.14,53.33,1.37,-3.58,-20.06,101.73,2.6,1.83,17.8,13.03,20.42,20.52,27.67,27.81,-15.65,-9.17,6.64,6261.38,4284.19,34488.59,6259.84,-19.3,1093.12,1319.6,6861.76,12962.06,11283.52,18005.02,572.62,12.23,15.51,34.37,27.74,33.6,33.42,34277.47,33.17,1.1,1.1,20.52,20.42,58.5,57.21,2358.7,Construction Materials
Aster DM Health.,540975.0,ASTERDM,Healthcare,504.95,25232.77,41.89,52.96,105.6,0.56,3.13,1.29,4.48,17.51,289.49,87.16,0.79,16.4,74.4,65.0,-3.71,1.93,-24.54,-14.22,-4.33,-23.48,9.23,9.44,45.04,37.94,38.59,720.04,5320.18,2994.05,446.57,35.81,4803.65,2788.44,1164.19,3061.81,3305.83,6098.2,332.39,23.62,24.63,2.92,11.1,5.95,7.09,4111.71,30.43,1.82,1.82,-23.31,-4.33,77.28,62.19,473.03,"Consumer Services, Diversified, Healthcare, Services"
Astral,532830.0,ASTRAL,Plastics Products,1345.1,36111.56,54.1,26.18,19.58,0.06,18.05,12.02,23.16,16.19,522.1,69.17,0.28,4.59,-7.52,150.81,3.12,1.8,21.1,17.61,9.9,22.18,19.76,19.26,-36.49,-5.91,20.53,935.3,522.1,5158.5,809.6,0.12,80.2,275.3,718.7,1403.8,1923.4,2992.9,79.9,20.17,14.6,23.56,17.91,25.33,25.25,5776.1,36.76,0.76,0.76,21.95,9.8,18.47,51.78,1359.76,"Consumer Durables, Fast Moving Consumer Goods"
Astrazeneca Phar,506820.0,ASTRAZEN,Pharmaceuticals - Multinational,8681.0,21699.05,75.0,47.76,38.79,0.03,22.92,14.45,31.13,13.4,167.61,129.46,0.28,35.25,5.09,394.11,5.8,2.25,16.78,12.21,17.57,22.33,20.54,19.88,62.71,46.7,23.38,216.99,96.97,1002.97,165.12,11.33,12.14,0.0,165.2,338.38,186.96,379.16,5.23,2.89,4.65,30.91,22.95,26.16,28.44,1619.01,84.83,1.44,1.44,22.33,17.57,37.15,56.29,8102.8,Healthcare
Atul,500027.0,ATUL,Chemicals,6746.0,19883.91,45.18,27.93,164.37,0.04,9.03,7.41,12.72,16.35,483.93,41.09,0.3,18.15,55.78,179.65,-6.91,3.33,3.19,6.41,-6.3,-5.95,11.34,8.9,12.7,-9.0,6.81,912.96,498.83,4725.68,639.45,42.77,144.17,108.47,331.19,368.53,1977.28,2926.68,-9.74,9.79,23.62,8.74,6.35,12.25,15.82,5583.35,19.38,2.51,2.51,-5.81,-6.14,15.21,72.03,5968.38,"Chemicals, Diversified"
