Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
H U D C O,540530.0,HUDCO,Finance - Housing,223.46,44758.09,75.0,19.56,13.4,5.46,13.17,2.42,9.23,100.11,2681.56,16.69,1.86,25.87,30.45,-11.23,1.35,1.28,2.51,6.99,10.17,12.34,12.73,12.34,-0.46,85.07,54.54,9541.64,2681.56,7081.99,6803.42,25.54,60977.97,59847.96,-11947.8,-11146.79,-11943.34,-11118.68,322.05,2.46,9.69,8.81,11.38,9.07,9.27,9531.52,14.22,1.28,1.28,12.34,10.17,39.25,57.33,210.15,Financial services
Happiest Minds,543227.0,HAPPSTMNDS,Computers - Software - Medium / Small,571.85,8700.41,44.22,31.76,14.62,0.82,20.56,12.34,21.57,18.28,213.46,40.76,1.01,21.96,-8.5,60.18,0.74,1.37,28.07,22.44,13.63,54.77,30.41,26.2,-29.79,-16.99,,353.55,222.63,1429.29,358.87,2.48,192.75,143.67,434.15,688.26,587.85,843.24,38.98,5.04,10.58,29.55,31.32,27.59,31.99,1933.56,18.95,1.37,1.37,16.73,12.27,34.57,37.77,625.77,Information Technology
Havells India,517354.0,HAVELLS,Electric Equipment,1601.0,100370.27,59.41,68.27,23.48,0.04,18.65,11.21,24.79,9.78,1470.24,68.27,0.62,17.15,16.4,155.88,4.64,1.86,16.04,18.2,7.1,14.7,19.06,17.92,-3.79,6.87,23.23,2130.86,1470.24,18590.01,1881.12,13.28,616.4,72.37,1931.57,3913.59,4033.12,6421.47,544.85,22.31,12.63,24.4,17.95,23.83,25.64,21778.06,39.98,1.01,1.01,14.66,7.06,42.58,56.88,1553.43,"Capital Goods, Energy"
HBL Engineering,517271.0,HBLENGINE,Auto Ancillaries,481.95,13363.47,59.11,22.85,11.31,0.05,27.73,20.43,35.94,21.13,329.65,40.54,0.1,3.74,39.11,118.98,0.61,2.67,34.79,12.02,160.11,66.14,12.01,17.18,-5.87,76.91,105.82,444.06,312.94,1368.68,151.44,31.87,69.94,232.1,336.86,562.18,458.01,727.91,91.45,4.83,0.36,13.74,10.72,21.02,14.69,2101.72,28.13,1.63,1.63,66.14,160.11,4.93,44.82,499.98,Automobile and Auto Components
HCL Technologies,532281.0,HCLTECH,Computers - Software - Large,1567.5,424717.34,60.81,29.57,64.12,0.09,25.23,17.01,31.88,21.79,17399.0,24.41,3.44,6.5,11.72,21.57,2.52,2.22,10.97,10.62,9.08,9.69,22.79,23.87,14.7,13.25,23.59,25504.0,17399.0,109913.0,24198.0,5.4,6343.0,7986.0,59175.0,92385.0,62718.0,99236.0,-1214.0,19.15,15.44,29.6,23.3,29.91,28.13,117055.0,14.64,2.21,2.21,9.69,9.08,93.63,55.81,1572.33,Information Technology
HDFC AMC,541729.0,HDFCAMC,Finance & Investments,4374.4,93568.27,52.47,20.15,115.11,0.0,32.35,30.18,43.33,79.87,2461.05,38.02,1.6,10.74,26.48,58.83,2.66,0.67,12.93,10.49,20.89,14.28,28.91,29.13,12.32,28.92,11.57,2794.03,2461.05,3158.72,2535.83,10.18,0.0,0.0,4768.88,7086.18,4846.03,7185.08,1.37,20.51,18.01,37.72,29.51,37.79,37.89,3498.03,27.89,0.67,0.67,14.18,20.79,78.19,60.18,4085.52,Financial services
HDFC Bank,500180.0,HDFCBANK,Banks - Private Sector,1925.0,1474117.18,0.0,11.67,92.51,6.46,14.53,1.74,7.51,43.28,70792.25,20.82,1.01,18.59,10.78,28.42,0.99,,35.26,22.45,23.04,21.05,16.15,16.01,26.64,11.61,13.95,145587.75,73440.17,283649.02,109453.48,33.01,1784969.53,1333041.45,155538.92,182158.6,167124.88,197641.76,20913.66,48.3,35.68,7.67,17.14,7.14,6.71,336367.43,17.2,,,13.25,10.52,23.78,64.74,1806.43,"Banks - Private Sector, Diversified"
HDFC Life Insur.,540777.0,HDFCLIFE,Finance & Investments,743.7,160285.85,50.32,49.5,8.41,0.18,11.75,0.56,7.43,0.85,1810.82,88.52,0.27,-4.49,15.04,14.7,12.83,1.03,13.03,26.96,10.92,6.9,11.74,10.92,27.42,8.49,8.22,826.38,1810.82,101481.8,531.22,55.56,600.0,0.0,32684.19,48213.74,33201.59,48846.97,3566.3,24.96,14.1,6.61,11.38,7.87,11.12,96921.74,125.15,1.03,1.03,5.53,10.22,24.97,74.37,675.44,Financial services
HEG,509631.0,HEG,Electrodes - Graphites,466.35,9010.95,55.78,20.77,11.48,0.13,7.14,5.45,8.54,11.24,221.63,40.66,0.96,-12.19,-41.44,-43.62,-1.12,2.18,24.03,-18.34,84.2,-36.44,6.21,10.5,-1.28,23.73,23.81,243.36,221.63,2462.56,618.74,-47.45,298.06,666.79,-619.0,344.57,584.93,2039.43,103.76,7.18,11.65,14.66,13.0,12.28,6.99,2164.34,18.0,1.11,1.11,-36.44,84.2,27.87,53.08,445.65,"Energy, Metals & Mining"
Hero Motocorp,500182.0,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,3827.4,76585.94,34.74,45.93,207.65,0.03,21.95,15.06,29.09,13.78,4138.48,18.51,3.0,10.83,11.33,29.66,7.74,1.64,6.87,2.15,10.52,2.39,18.72,17.8,-15.75,15.15,12.05,5591.93,4150.52,34158.38,4098.6,12.94,584.02,311.5,7743.21,15510.15,9640.61,19269.19,378.61,27.43,27.89,22.72,16.73,23.4,24.23,40570.29,11.76,1.42,1.42,2.37,10.49,74.73,52.64,3828.94,Automobile and Auto Components
